Model,Split,AUC_mean,AUC_std,AUC,F1_mean,F1_std,F1,Precision_mean,Precision_std,Precision,Recall_mean,Recall_std,Recall
GCN,random,0.8716666666666667,0.010378021648336108,0.8717 ± 0.0104,0.9077999999999999,0.01482801402750889,0.9078 ± 0.0148,0.8445999999999999,0.030170183957012937,0.8446 ± 0.0302,0.9822333333333333,0.02551202330928174,0.9822 ± 0.0255
GCN,scaffold,0.5188666666666667,0.014522511261256883,0.5189 ± 0.0145,0.7259000000000001,0.03406860725066409,0.7259 ± 0.0341,0.8018000000000001,0.021500697663099203,0.8018 ± 0.0215,0.6666666666666666,0.07159729976286351,0.6667 ± 0.0716
